school_nm,network_num,school_id,y,sch_type,sch_addr,x,grades,lon,lat,ACT_Composite_Average,Percent_Free_Reduced_Lunch,Cohort_Dropout_Rates_2016,Cohort_Graduation_Rates_2016,Enrollment_Pct
CICS - Northtown,Network 1,400034,41.99024501,Charter,"3900 W Peterson Ave, 60659",-87.72650426,"9, 10, 11, 12",-87.72650426,41.99024501,19.4,78.74,13.2,83.30,76.60
Northside College Prep,Network 1,609749,41.98131528,District,"5501 N Kedzie Ave, 60625",-87.7087078,"9, 10, 11, 12",-87.7087078,41.98131528,29.5,41.25,0.7,97.80,93.40
Roosevelt,Network 1,609728,41.96482788,District,"3436 W Wilson Ave, 60625",-87.71481862,"9, 10, 11, 12",-87.71481862,41.96482788,15.5,91.32,28.3,66.90,38.00
Schurz,Network 1,609729,41.94636454,District,"3601 N Milwaukee Ave, 60641",-87.73561211,"9, 10, 11, 12",-87.73561211,41.94636454,16.4,91,21.2,72.50,50.10
Taft,Network 1,609734,41.98296099,District,"6530 W Bryn Mawr Ave, 60631",-87.79154725,"7, 8, 9, 10, 11, 12",-87.79154725,41.98296099,18.9,53.12,12.6,85.20,63.00
Von Steuben,Network 1,609737,41.97318505,District,"5039 N Kimball Ave, 60625",-87.71338625,"9, 10, 11, 12",-87.71338625,41.97318505,21.3,74.96,9.5,88.80,73.40
,Network 1,AVERAGES,,,,,,,,20.2,71.73166667,14.25,82.42,65.75
Bogan,Network 10,609698,41.74937561,District,"3939 W 79th St, 60652",-87.72109745,"9, 10, 11, 12",-87.72109745,41.74937561,14.9,92.48,21.1,75.70,54.60
Chicago High School for Agricultural Sciences,Network 10,609753,41.69122074,District,"3857 W 111th St, 60655",-87.71776967,"9, 10, 11, 12",-87.71776967,41.69122074,20.2,44.58,10.3,74.70,79.80
Hubbard,Network 10,609741,41.78052639,District,"6200 S Hamlin Ave, 60629",-87.71801374,"9, 10, 11, 12",-87.71801374,41.78052639,17.1,94.86,13.8,82.90,56.20
Kennedy,Network 10,609718,41.78996125,District,"6325 W 56th St, 60638",-87.78083976,"9, 10, 11, 12",-87.78083976,41.78996125,18.1,75.93,24.7,68.80,59.50
Morgan Park,Network 10,609725,41.69203501,District,"1744 W Pryor Ave, 60643",-87.66565755,"7, 8, 9, 10, 11, 12",-87.66565755,41.69203501,17.3,85.63,15.7,79.60,66.80
,Network 10,AVERAGES,,,,,,,,17.5,78.696,17.12,76.34,63.38
CICS - Ellison,Network 11,400032,41.74838241,Charter,"1817 W 80th St, 60620",-87.66897964,"9, 10, 11, 12",-87.66897964,41.74838241,16.3,92.97,17.5,78.60,64.30
CICS - Longwood,Network 11,400033,41.72013,Charter,"1309 W 95th St, 60643",-87.65663,"9, 10, 11, 12",-87.65663,41.72013,15.4,91.26,15.2,82.60,64.90
