School Name,School ID,Network,Category,Category Breakdown,Grade,Year,Read,Math,Science,English,Composite
NORTHSIDE PREP HS,609749,Network 1,Overall,Overall,11th Grade,2016,30.2,28.9,28.7,30.1,29.500
ROOSEVELT HS,609728,Network 1,Overall,Overall,11th Grade,2016,15.6,16.5,16.0,14.1,15.500
SCHURZ HS,609729,Network 1,Overall,Overall,11th Grade,2016,16.2,17.1,16.8,15.3,16.400
TAFT HS,609734,Network 1,Overall,Overall,11th Grade,2016,19.4,18.7,19.0,18.8,18.900
VON STEUBEN HS,609737,Network 1,Overall,Overall,11th Grade,2016,21.0,21.6,21.1,21.3,21.300
,,Network 1,,,,,,,,,20.320
BOGAN HS,609698,Network 10,Overall,Overall,11th Grade,2016,15.0,15.4,15.4,13.8,14.900
CHICAGO AGRICULTURE HS,609753,Network 10,Overall,Overall,11th Grade,2016,20.4,19.0,20.3,21.3,20.200
GOODE HS,610558,Network 10,Overall,Overall,11th Grade,2016,16.3,16.9,16.7,16.5,16.600
HUBBARD HS,609741,Network 10,Overall,Overall,11th Grade,2016,17.2,17.3,17.4,16.5,17.100
KENNEDY HS,609718,Network 10,Overall,Overall,11th Grade,2016,18.2,18.2,18.3,17.6,18.100
MORGAN PARK HS,609725,Network 10,Overall,Overall,11th Grade,2016,17.3,17.4,17.7,16.8,17.300
,,Network 10,,,,,,,,,17.367
HARPER HS,609711,Network 11,Overall,Overall,11th Grade,2016,14.8,15.0,14.7,13.9,14.600
HOPE HS,609768,Network 11,Overall,Overall,11th Grade,2016,14.8,15.4,15.5,13.0,14.700
LINDBLOM HS,610391,Network 11,Overall,Overall,11th Grade,2016,23.9,22.2,22.5,23.1,22.900
ROBESON HS,609707,Network 11,Overall,Overall,11th Grade,2016,12.4,14.7,13.7,12.2,13.200
SIMEON HS,609692,Network 11,Overall,Overall,11th Grade,2016,15.8,16.1,17.1,15.9,16.200
TEAM HS,610506,Network 11,Overall,Overall,11th Grade,2016,14.4,15.1,15.1,12.6,14.300
,,Network 11,,,,,,,,,15.983
BOWEN HS,610323,Network 12,Overall,Overall,11th Grade,2016,14.6,15.3,15.2,13.3,14.600
CHICAGO VOCATIONAL HS,609674,Network 12,Overall,Overall,11th Grade,2016,15.4,15.5,17.0,14.3,15.600
HARLAN HS,609710,Network 12,Overall,Overall,11th Grade,2016,15.0,15.3,16.5,14.2,15.200
HIRSCH HS,609712,Network 12,Overall,Overall,11th Grade,2016,13.1,14.4,14.2,10.8,13.100
SOUTH SHORE INTL HS,610547,Network 12,Overall,Overall,11th Grade,2016,17.7,17.5,18.2,18.3,17.900
,,Network 12,,,,,,,,,15.280
CORLISS HS,609761,Network 13,Overall,Overall,11th Grade,2016,14.4,14.8,14.8,13.3,14.300
FENGER HS,609705,Network 13,Overall,Overall,11th Grade,2016,14.8,15.4,15.0,13.5,14.700
JULIAN HS,609762,Network 13,Overall,Overall,11th Grade,2016,14.5,15.4,15.4,13.3,14.700
WASHINGTON HS,609739,Network 13,Overall,Overall,11th Grade,2016,17.7,17.2,18.0,17.7,17.700
,,Network 13,,,,,,,,,15.350
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2016,18.3,18.2,18.4,17.7,18.200
LAKE VIEW HS,609719,Network 2,Overall,Overall,11th Grade,2016,17.7,17.7,18.1,16.6,17.500
MATHER HS,609724,Network 2,Overall,Overall,11th Grade,2016,17.4,18.2,18.1,15.9,17.400
SENN HS,609730,Network 2,Overall,Overall,11th Grade,2016,18.3,18.4,18.5,17.9,18.300
SULLIVAN HS,609733,Network 2,Overall,Overall,11th Grade,2016,14.7,16.2,16.2,13.4,15.100
UPLIFT HS,610394,Network 2,Overall,Overall,11th Grade,2016,15.2,16.3,16.4,14.3,15.600
,,Network 2,,,,,,,,,17.017
AUSTIN BUS & ENTRP HS,400018,Network 3,Overall,Overall,11th Grade,2016,14.4,15.3,15.8,11.8,14.400
AUSTIN POLY HS,610501,Network 3,Overall,Overall,11th Grade,2016,14.3,15.3,14.9,11.7,14.000
CLARK HS,610244,Network 3,Overall,Overall,11th Grade,2016,16.3,15.7,17.5,15.7,16.300
DOUGLASS HS,610245,Network 3,Overall,Overall,11th Grade,2016,13.1,14.9,14.4,12.0,13.600
FOREMAN HS,609708,Network 3,Overall,Overall,11th Grade,2016,15.2,16.4,15.9,13.9,15.300
PROSSER HS,609679,Network 3,Overall,Overall,11th Grade,2016,18.3,17.8,18.9,17.5,18.100
STEINMETZ HS,609732,Network 3,Overall,Overall,11th Grade,2016,16.1,17.0,17.5,14.7,16.300
VOISE HS,610518,Network 3,Overall,Overall,11th Grade,2016,14.6,15.4,15.7,12.5,14.600
,,Network 3,,,,,,,,,15.325
ALCOTT HS,610524,Network 4,Overall,Overall,11th Grade,2016,17.5,17.7,18.1,17.0,17.600
DEVRY HS,610402,Network 4,Overall,Overall,11th Grade,2016,21.0,20.8,20.9,21.6,21.100
KELVYN PARK HS,609716,Network 4,Overall,Overall,11th Grade,2016,15.1,15.8,15.6,13.5,15.000
LANE TECH HS,609720,Network 4,Overall,Overall,11th Grade,2016,26.1,25.3,24.9,26.0,25.600
,,Network 4,,,,,,,,,19.825
CLEMENTE HS,609759,Network 5,Overall,Overall,11th Grade,2016,15.3,15.5,16.5,14.5,15.400
MANLEY HS,609722,Network 5,Overall,Overall,11th Grade,2016,13.8,14.7,15.1,12.7,14.100
NORTH-GRAND HS,609691,Network 5,Overall,Overall,11th Grade,2016,15.1,16.3,17.3,14.8,15.900
RABY HS,610334,Network 5,Overall,Overall,11th Grade,2016,14.6,15.2,15.1,13.0,14.500
WESTINGHOUSE HS,609693,Network 5,Overall,Overall,11th Grade,2016,20.7,20.7,21.1,20.3,20.700
,,Network 5,,,,,,,,,16.120
CRANE MEDICAL HS,610561,Network 6,Overall,Overall,11th Grade,2016,18.4,18.5,19.4,18.3,18.700
OGDEN HS,610529,Network 6,Overall,Overall,11th Grade,2016,20.3,18.5,20.1,19.8,19.700
PEACE AND EDUCATION HS,610386,Network 6,Overall,Overall,11th Grade,2016,14.2,15.2,14.0,11.7,13.800
SIMPSON HS,609750,Network 6,Overall,Overall,11th Grade,2016,17.1,16.4,17.5,15.7,16.700
WELLS HS,609740,Network 6,Overall,Overall,11th Grade,2016,15.3,16.7,15.5,14.0,15.400
,,Network 6,,,,,,,,,16.860
FARRAGUT HS,609704,Network 7,Overall,Overall,11th Grade,2016,15.0,16.4,15.9,13.7,15.200
INFINITY HS,610384,Network 7,Overall,Overall,11th Grade,2016,17.8,19.2,20.1,17.9,18.800
MULTICULTURAL HS,610385,Network 7,Overall,Overall,11th Grade,2016,14.1,15.2,15.5,13.6,14.600
SOCIAL JUSTICE HS,610383,Network 7,Overall,Overall,11th Grade,2016,15.4,16.0,16.0,15.0,15.600
SPRY HS,610357,Network 7,Overall,Overall,11th Grade,2016,,,,,
WORLD LANGUAGE HS,610392,Network 7,Overall,Overall,11th Grade,2016,16.9,17.3,17.9,17.6,17.500
,,Network 7,,,,,,,,,16.340
BACK OF THE YARDS HS,610563,Network 8,Overall,Overall,11th Grade,2016,16.8,18.5,18.1,16.8,17.600
CURIE HS,609756,Network 8,Overall,Overall,11th Grade,2016,17.2,18.1,18.0,16.4,17.400
GAGE PARK HS,609709,Network 8,Overall,Overall,11th Grade,2016,14.6,15.0,14.8,13.2,14.400
HANCOCK HS,609694,Network 8,Overall,Overall,11th Grade,2016,17.0,16.8,17.4,16.4,16.900
KELLY HS,609715,Network 8,Overall,Overall,11th Grade,2016,16.6,18.0,17.2,16.7,17.100
RICHARDS HS,609682,Network 8,Overall,Overall,11th Grade,2016,14.4,15.7,15.2,12.9,14.600
TILDEN HS,609735,Network 8,Overall,Overall,11th Grade,2016,14.8,15.5,14.6,12.9,14.500
,,Network 8,,,,,,,,,16.071
BRONZEVILLE HS,610381,Network 9,Overall,Overall,11th Grade,2016,14.6,15.5,15.7,13.7,14.800
DUNBAR HS,609676,Network 9,Overall,Overall,11th Grade,2016,14.1,15.1,15.5,12.8,14.400
HYDE PARK HS,609713,Network 9,Overall,Overall,11th Grade,2016,15.3,16.2,16.4,14.8,15.700
KENWOOD HS,609746,Network 9,Overall,Overall,11th Grade,2016,18.3,19.4,19.3,19.9,19.200
KING HS,609751,Network 9,Overall,Overall,11th Grade,2016,20.5,19.7,20.8,21.3,20.600
WILLIAMS HS,610380,Network 9,Overall,Overall,11th Grade,2016,16.6,17.0,17.4,17.3,17.100
,,Network 9,,,,,,,,,16.967
